YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
2017,Ilen,DAIRY,F,98,357,4781,455,4606,472,1012,191
2016,Dodder,BEEF,M,11,88,143,60,66,18,16,27
2016,Nore,DAIRY,C,0,0,0,0,143,325,15826,70842
2017,Boyne,BEEF,C,0,0,0,3,199,499,3827,56389
2018,Dargle,BEEF,C,0,0,0,0,2,9,90,1143
2015,Inny,BEEF,C,0,0,0,0,82,229,1746,30975
2014,Erriff,BEEF,C,0,0,0,0,2,4,27,730
2020,Doonbeg,DAIRY,C,0,0,0,0,5,5,1162,5420
2017,Vartry,DAIRY,C,0,0,0,0,1,45,108,1110
2016,Erriff,BEEF,F,12,70,238,41,146,20,61,7
2020,Gweebarra,DAIRY,F,0,1,12,0,18,0,0,0
2019,Ilen,BEEF,M,289,1011,4575,847,2397,341,388,370
2020,Gweebarra,DAIRY,M,0,0,19,1,26,1,1,0
2020,Vartry,DAIRY,M,23,102,122,74,130,66,57,11
2015,Ilen,BEEF,F,264,912,3975,713,2541,445,491,162
2018,Doonbeg,BEEF,F,121,475,2506,326,1397,255,537,140
2015,Gweebarra,BEEF,F,5,64,230,48,141,22,56,10
2017,Erriff,DAIRY,C,0,0,0,0,0,1,23,47
2019,Doonbeg,BEEF,M,115,526,2283,283,1220,166,290,263
2014,Nore,DAIRY,M,493,2465,26615,2864,25914,1686,2615,520
2020,Vartry,BEEF,M,56,299,960,181,643,84,160,84
2014,Vartry,BEEF,M,61,293,876,214,624,94,147,81
2015,Gweebarra,DAIRY,M,0,0,19,1,26,0,1,0
2014,Doonbeg,BEEF,C,0,0,0,0,11,35,337,6011
2018,Vartry,BEEF,F,63,263,949,343,1175,148,240,62
2020,Ilen,BEEF,F,259,894,3873,705,2481,420,458,153
2016,Erriff,BEEF,C,0,0,0,0,2,4,28,799
2018,Ilen,DAIRY,F,98,357,4751,454,4584,471,1012,190
2020,Gweebarra,DAIRY,C,0,0,0,0,0,0,24,55
2018,Vartry,BEEF,M,59,268,841,171,608,95,161,79
2017,Dodder,DAIRY,M,1,6,6,4,28,9,4,1
2014,Dargle,BEEF,C,0,0,0,0,2,9,90,1130
2016,Dodder,DAIRY,C,0,0,0,0,0,11,31,255
2017,Currane,BEEF,F,20,227,264,91,167,44,62,26
2016,Currane,BEEF,F,20,227,264,91,169,44,58,25
2017,Currane,BEEF,M,32,220,173,50,61,26,27,45
2016,Gweebarra,BEEF,M,8,78,186,26,38,2,7,16
2015,Inny,DAIRY,M,226,522,2192,572,2035,273,430,121
2020,Nore,BEEF,F,1508,7861,34460,8309,27506,4858,4542,1213
2014,Vartry,DAIRY,F,40,104,248,181,215,125,85,42
2014,Boyne,DAIRY,M,1093,3245,9026,3377,8581,1944,1989,456
2020,Moy,DAIRY,C,0,0,0,0,11,66,1459,9701
2014,Moy,DAIRY,C,0,0,0,0,16,68,1503,9772
2019,Vartry,BEEF,C,0,0,0,0,11,39,248,1934
2017,Dargle,BEEF,C,0,0,0,0,3,22,80,1216
2015,Boyne,BEEF,C,0,0,0,2,191,561,4687,55495
2017,Moy,BEEF,C,0,0,0,0,115,245,3340,43575
2014,Inny,BEEF,C,0,0,0,0,115,291,2367,31017
2017,Ilen,BEEF,C,0,0,0,0,14,101,518,6762
2018,Ilen,BEEF,C,0,0,0,0,14,108,521,6798
2018,Dodder,BEEF,F,6,79,176,81,191,33,56,7
2020,Dargle,BEEF,F,11,151,525,142,483,70,129,44
2015,Dargle,BEEF,F,11,151,519,158,520,72,130,42
2014,Vartry,BEEF,F,45,321,969,368,1008,164,193,43
2014,Dargle,BEEF,F,10,150,515,158,515,71,129,41
2018,Erriff,BEEF,C,0,0,0,0,4,11,44,810
2018,Doonbeg,DAIRY,C,0,0,0,0,6,3,1072,5488
2019,Doonbeg,DAIRY,C,0,0,0,0,6,4,1116,5660
2020,Moy,BEEF,F,932,3944,19239,3852,13265,1758,3909,1013
2016,Moy,BEEF,F,934,4038,19465,3976,13568,1799,3972,1040
2017,Boyne,DAIRY,F,1091,3980,15268,5306,14099,3376,3106,1322
2016,Currane,BEEF,C,0,0,0,0,1,4,80,1266
